coreid,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Quaternary,Binary
0000[Ag][nan]3[ASR]1,112.2824,208.7744,283.0836,325.6576,4988,5044,5616,4496,14,28,36,40,64,140,156,160,10.0908,20.432,26.7844,25.5856,3.7249,19.1456,19.686,41.4564,2209,1081,1128,1974,1,3,4,8,9,21,36,54,1.6384,2.8288,3.9424,6.7584,0,-4.13,-2.48,-6.04,0,118,164,334,0,0,0,0,0,2,0,6,0,1.63,2.04,4.96,91.2838,176.001,261.8652,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7333,12.7666,17.2678,16.611,10.9696,11.016,23.36373333,18.73866667,59,60,107.3333333,82.66666667,1,1.333333333,2.666666667,2.333333333,2,6,8,7.333333333,0.542766667,0.759733333,1.3,1.126966667,36.98,95.67333333,136.635076,129.9617427,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.333333333,-2.333333333,0,-0.04,0.213333333,0.193333333,0,-6.6,-4.671406667,-7.371406667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0000[Ag][sql]2[ASR]1,92.7113,170.9696,241.6632,372.096,2693,3304,5388,2016,13,24,36,48,60,144,180,144,8.6316,16.92,27.2628,27.72,3.7249,23.4688,39.372,73.34,2209,1316,2256,2632,1,4,8,16,16,48,96,128,1.6384,3.84,7.8848,11.6736,0,-4.44,-4.96,-7.12,0,160,328,696,0,0,0,0,0,4,8,32,0,2.12,4.08,11.36,242.1136,512.017,804.6784,973.359,916,1996,2644,2586,38,78,124,156,202,494,660,684,14.9926,35.991,51.314,56.4484,9.2416,15.504,28.88,22.192,49,84,98,91,1,2,4,3,4,12,16,16,0.5625,1.155,1.71,1.4325,54.76,167.24,233.945228,200.592614,0,0.98,2.66,1.82,0,2,14,8,0,0,0,0,0,-2,0,-2,0,-0.04,0.72,0.34,0,-7.8,-2.01422,-4.90711,10.5376,15.482,29.2836,31.312,56.5,69.5,129,122.5,1,2,3.5,4,5,13.5,16.5,19.5,0.5477,0.9973,1.68355,1.8372,41.425,130.241307,186.137614,225.88399,0,1.355,1.775,3.285,0,5,8,13.5,0,0,0,0,0,-0.5,1,-1.5,0,0.15,0.34,0.48,0,-5.453555,-4.00711,-9.610665,0,0
0000[Ag][sra]3[ASR]1,95.4504,173.9488,246.0536,381.0336,2706,3318,5494,2058,13,24,36,48,60,144,180,144,8.6012,16.89,27.1808,27.63,3.7249,23.4688,40.3177,70.7152,2209,1316,2303,2867,1,4,8,15,16,48,92,132,1.6384,3.84,7.8592,11.6864,0,-4.44,-5.45,-7.69,0,160,327,644,0,0,0,0,0,4,9,27,0,2.12,4.1,10.07,224.0721,505.7372,783.3334,910.4092,918,2174,3040,3124,35,76,118,142,194,482,690,740,15.0971,37.2688,54.5366,59.5826,9.2416,15.8764,27.8464,24.2364,49,85.75,106.75,94.5,1,2,3.75,3.25,4,11.5,16.5,14.5,0.5625,1.15125,1.711875,1.498125,54.76,160.025,230.958921,201.7157675,0,0.8575,2.24,1.9075,0,1.75,11,9.25,0,0,0,0,0,-1.75,-0.75,-0.75,0,-0.035,0.53,0.44,0,-6.825,-3.460665,-3.2088875,9.2416,20.1248,37.1184,46.1928,49,108.5,199.5,220.5,1,2.5,4.5,6,6.5,18.5,33,40.5,0.5625,1.43625,2.57625,3.1575,54.76,194.62,333,437.022614,0,0.98,1.47,3.045,0,2,3,10.5,0,0,0,0,0,-0.5,-0.5,0.5,0,-0.04,-0.06,0.29,0,-7.8,-11.7,-14.65711,1,0
0000[Cd][deh]3[ASR]1,85.4421,157.968,273.145,241.536,2753,4296,3592,1320,10,22,30,28,60,154,158,88,7.2561,17.67,21.0774,15.8004,2.8561,28.392,17.238,25.857,2304,1872,1152,1728,1,5,4,6,25,55,60,100,2.1904,5.4316,4.5584,6.8376,0,-8.35,-3.44,-5.16,0,201,168,252,0,0,0,0,0,14,8,10,0,3.73,2.84,4.26,207.3535,419.679,677.2264,806.915,856,1764,2620,2984,31,64,104,124,168,408,564,674,13.0935,30.8616,45.724,54.4136,11.3152,10.1184,22.68608,26.712,61,55.2,123.2,110.4,1,1.2,2.4,3.4,1.6,4.8,8.8,10.8,0.53882,0.68068,1.338,1.57886,33.424,81.36,137.28,186.0191368,0,0.908,1.104,2.726,0,2,2.4,11,0,0,0,0,0,-2,-2.8,-2.6,0,-0.04,-0.048,0.38,0,-6.36,-7.92,-8.468532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0000[Cd][nbo]3[ASR]1,91.8425,165.1328,231.8712,372.096,2788,3360,5484,2016,13,24,36,48,60,144,180,144,9.1836,18.12,29.7268,27.72,2.8561,20.5504,34.476,64.22,2304,1344,2304,2688,1,4,8,16,16,48,96,128,2.1904,4.44,9.1168,13.4976,0,-5.4,-6.88,-10.96,0,164,336,712,0,0,0,0,0,4,8,32,0,2.92,5.68,14.56,321.3146,727.566,1140.268,1426.599,1250,3000,4192,4548,52,112,176,226,288,720,1040,1210,21.5284,53.6536,78.976,92.0546,9.2416,15.504,28.88,21.128,49,84,98,56,1,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,54.76,167.24,233.945228,150.325228,0,0.98,2.66,2.17,0,2,14,13,0,0,0,0,0,-2,0,1,0,-0.04,0.72,0.74,0,-7.8,-2.01422,1.88578,9.2416,23.256,46.512,86.64,49,126,252,294,1,3,6,12,9,27,54,72,0.5625,1.7325,3.465,5.13,54.76,250.86,501.72,701.835684,0,1.47,2.94,7.98,0,3,6,42,0,0,0,0,0,0,0,12,0,-0.06,-0.12,2.16,0,-11.7,-23.4,-6.04266,1,0
0000[Cd][pcu]3[ASR]2,136.3357,247.6992,458.706,930.24,3030,5040,8814,5040,19,36,66,120,102,288,426,360,12.6802,27.18,51.3402,69.3,2.8561,30.8256,51.714,101.2986,2304,2016,3456,4320,1,6,12,24,36,108,216,288,2.1904,6.66,13.6752,20.0688,0,-8.1,-10.32,-19.38,0,246,504,1062,0,0,0,0,0,18,36,96,0,4.38,8.52,21.96,137.3864,306.255,503.6624,517.0092,494,1176,1544,1062,22,46,76,86,122,304,424,378,8.3622,20.8054,30.4324,28.0286,9.2416,15.504,30.3696,14.44,49,84,105,49,1,2,4,2,4,12,16,10,0.5625,1.155,1.695,0.855,54.76,167.24,205.085228,116.972614,0,0.98,2.17,1.33,0,2,13,7,0,0,0,0,0,-2,0,-1,0,-0.04,0.74,0.36,0,-7.8,1.88578,-1.00711,9.2416,23.256,51.4976,29.3056,49,126,161,70,1,3,7,4,9,30,39,18,0.5625,1.7325,2.8275,1.395,54.76,250.86,355.410456,154.817842,0,1.47,4.34,2.52,0,3,26,18,0,0,0,0,0,-1,8,6,0,-0.06,1.48,1.14,0,-11.7,3.77156,8.67867,1,0
0000[Cd][sra]3[ASR]2,178.7052,340.16,622.3664,877.5008,5548,8544,9704,7248,22,48,76,108,132,352,460,464,15.7572,37.83,56.1284,65.706,2.8561,27.716,25.857,48.1988,2304,1824,1728,2400,1,5,6,11,25,60,90,115,2.1904,5.4612,6.8376,10.0492,0,-7.95,-5.16,-9.93,0,202,252,478,0,0,0,0,0,13,12,32,0,3.71,4.26,9.49,172.8876,342.567,531.3506,609.083,792,1584,2282,2402,24,50,76,92,126,306,430,476,11.1928,25.5794,37.0004,41.9308,10.7968,11.4648,24.5112,16.728,58,62.4,109.2,91.2,1,1.4,2.8,2,2.2,6.6,8,8.4,0.54474,0.79926,1.335,1.13652,38.758,102.83,134.8220912,138.764,0,0.926,1.402,1.46,0,2,6.4,3.2,0,0,0,0,0,-2,-0.8,-3.2,0,-0.04,0.272,-0.064,0,-6.72,-2.845688,-10.32,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,2,1
0000[Cd][sra]3[ASR]3,168.043,307.8276,469.0864,722.4064,5492,6960,8884,6052,22,44,64,92,108,264,340,348,15.8772,33.6316,49.8552,57.074,2.8561,21.9024,25.857,56.0235,2304,1440,1728,3312,1,4,6,12,16,40,72,100,2.1904,4.3808,6.8376,12.284,0,-6.2,-5.16,-12.87,0,162,252,507,0,0,0,0,0,6,6,23,0,2.96,4.26,9.46,207.1149,424.742,666.8192,737.7696,975,2018,3008,3012,28,60,92,106,152,372,530,554,13.4732,31.3088,46.1196,49.4998,10.5376,12.138,26.392,21.8896,56.5,66,127.75,118,1,1.5,3,2.5,2.5,7.5,10.5,10.5,0.5477,0.85855,1.54125,1.41335,41.425,113.565,164.451307,156.46,0,0.935,1.2325,1.135,0,2,4.75,2.5,0,0,0,0,0,-2,-1.25,-2.75,0,-0.04,0.155,-0.05,0,-6.9,-4.478555,-7.95,10.2784,14.1488,27.91104,27.13024,55,71,138.6,129.4,1,1.8,3.2,3.4,3.8,10.2,15,18,0.55066,0.97334,1.689,1.76518,44.092,130.9705228,186.9130456,223.6195684,0,1.112,1.182,2,0,3.2,4.2,6.8,0,0,0,0,0,-1.2,-0.8,-1.2,0,0.036,0.116,0.164,0,-6.501422,-5.142844,-9.304266,2,1
0000[Co][bpq]3[ASR]1,156.6888,341.1456,879.3568,1003.3224,2266,5816,10842,7608,20,48,108,128,160,504,920,528,13.4842,36.2184,75.1442,79.4736,3.5344,35.7952,45.5712,54.896,729,1188,2133,1404,1,6,9,12,36,96,180,168,1.5876,5.6196,9.2484,9.6264,0,-7.76,-7.32,-6.64,0,118,164,272,0,0,0,0,0,20,24,44,0,3.1,4,7.48,271.554,599.0374,980.1948,1221.7288,1278,2884,4536,5332,38,86,140,176,226,586,916,1040,18.4598,45.3854,71.9884,86.2104,9.2416,16.9936,22.192,15.9296,49,91,91,56,1,2,3,2,4,10,14,8,0.5625,1.14,1.4325,0.84,54.76,138.38,200.592614,88.112614,0,0.49,1.82,0.84,0,1,8,6,0,0,0,0,0,-1,-1,0,0,-0.02,0.34,0.38,0,-3.9,-4.90711,2.89289,10.9696,13.6,30.12746667,41.76373333,59,74,162.6666667,207.3333333,1,1.666666667,3.333333333,5,3.666666667,11,18,23,0.542766667,0.952233333,1.874733333,2.636433333,36.98,123.5466667,203.7133333,302.0684093,0,1.083333333,1.246666667,3.423333333,0,2.333333333,2.666666667,10.33333333,0,0,0,0,0,-1.333333333,-1.333333333,-3.333333333,0,-0.046666667,-0.053333333,0.126666667,0,-7.9,-9.2,-17.97140667,1,0
0000[Co][dia]3[ASR]2,84.6998,145.8336,209.3492,299.472,1171,2148,2762,1632,11,20,28,36,48,112,126,88,7.3358,14.3276,20.5848,20.482,3.5344,24.3648,28.764,61.9272,729,810,972,1620,1,4,6,12,16,40,72,88,1.5876,3.7296,5.8212,9.4248,0,-5.44,-4.02,-10.38,0,78,126,264,0,0,0,0,0,6,6,26,0,2.08,2.94,7.64,268.229,569.4574,900.2512,1006.24,1208,2620,3856,3760,38,82,128,152,210,522,764,824,17.5478,41.7818,62.4152,68.2576,10.5376,12.138,26.2324,12.648,56.5,66,112,69,1,1.5,3,1.5,2.5,7.5,9,6,0.5477,0.85855,1.3875,0.85085,41.425,113.565,132.102614,101.7,0,0.935,1.285,1.135,0,2,7,2.5,0,0,0,0,0,-2,-0.5,-2.5,0,-0.04,0.36,-0.05,0,-6.9,-0.10711,-7.95,10.1056,16.83706667,30.40826667,25.10133333,54,90.66666667,144.6666667,97.33333333,1,2,3.666666667,3.333333333,4.666666667,13,19.33333333,15.66666667,0.552633333,1.139866667,1.8875,1.514733333,45.87,140.09,227.435076,195.890152,0,0.786666667,1.673333333,2.366666667,0,1.666666667,6.333333333,10.66666667,0,0,0,0,0,-1,0,0.333333333,0,-0.033333333,0.206666667,0.453333333,0,-5.9,-6.571406667,-5.342813333,2,1
