coreid,mofid-v1,Source,2_class,4_class
2023[U][nan]3[FSR]2,[O-]C(=O)c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc(cc1)C(=O)[O-].[O][U](OO[U]([O])[O])[O],FSR,0,1
2019[In][acs]3[FSR]1,[O-]C(=O)c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc(cc1)C(=O)[O-].[OH2][In][O]([In][OH2])[In][OH2],FSR,1,2
2013[CdSi][flu]3[FSR]1,[Cd].[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],FSR,1,2
2009[Fe][the]3[FSR]1,[Fe][O]([Fe])([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],FSR,1,2
2002[Cu][dia]3[FSR]1,[OH2][Cu][OH2].[n-]1[nH]cc(c1)c1c[nH][n-]c1,FSR,0,1
2019[Zn][hcb]2[FSR]5,[Zn].n1ccn(c1)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)n1ccnc1)c1ccc(cc1)n1ccnc1,FSR,0,1
2021[Cu][sql]2[FSR]8,[Cu].[O-]C(=O)c1ccc(cc1)c1c(C)[n-][nH]c1C,FSR,0,1
2021[Pr][kgd]2[FSR]1,[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[OH2][Pr][OH2],FSR,1,2
2021[Mo][lvt]3[FSR]1,[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C(=O)[O-].[O][Mo]12O[Mo]2(O1)[O],FSR,0,1
2017[NiNb][pcu]3[FSR]2,[Ni].n1ccncc1,FSR,1,3
2018[NiCo][scu]3[FSR]1,[Co].[O]P(=O)(c1ccc(cc1)C1=C2C=CC3=[N]2[Ni]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)P(=O)([O])[O])cc1)c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O],FSR,1,2
