coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2017[Cu][nan]3[ASR]8,O[<missing>]O.[Cu].[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],0,0,1,0,0,0,0,0,0,0,0,Cu
2008[Cu][tbo]3[ASR]2,[<missing>][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,Cu
2008[In][dia]3[ASR]1,[<missing>].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,In
2019[Cu][pts]3[ASR]2,[<missing>][Cu].[O-]C(=O)c1ccc2c(c1)ccc(c2)OCC(COc1ccc2c(c1)ccc(c2)C(=O)[O-])(COc1ccc2c(c1)ccc(c2)C(=O)[O-])COc1ccc2c(c1)ccc(c2)C(=O)[O-],0,0,0,0,0,0,4,0,0,0,0,Cu
2014[Zn][pcu]3[ASR]21,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[<missing>][O]([Zn])([Zn])[Zn],0,0,0,0,0,0,0,0,0,0,0,Zn
2020[Zr][hex]3[ASR]1,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[<missing>]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,0,0,0,0,0,0,0,0,0,0,0,Zr
2009[Cd][nuc]3[ASR]10,Nn1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[<missing>],0,0,5,0,0,0,0,0,0,0,0,Cd
2002[Fe][dia]3[ASR]1,Cl[<missing>]O[Fe]Cl.[O-]C(=O)C(=O)[O-],0,0,0,0,2,0,0,0,0,0,0,Fe
2015[In][nou]3[ASR]1,[<missing>].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,In
2013[Co][dia]3[ASR]5,[<missing>].[O-]C(=O)c1ccc(cc1)c1ccncc1,0,0,1,0,0,0,0,0,0,0,0,Co
2012[Cu][sra]3[ASR]2,[<missing>].n1ncn(c1)C12CC3(CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1)n1cnnc1,0,0,12,0,0,0,0,0,0,0,0,Cu
2005[Zn][pcu]3[ASR]3,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[<missing>][O]([Zn])([Zn])[Zn],0,0,0,0,0,0,0,0,0,0,0,Zn
2013[Ni][xmz]3[ASR]3,[<missing>][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,0,0,0,0,0,0,0,0,0,0,0,Ni
2005[Zn][nan]3[ASR]2,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH].[<missing>],0,0,0,0,0,0,0,0,0,0,0,Zn
2013[Co][xmz]3[ASR]1,[<missing>][OH2]([Co])[Co].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,Co
2017[Cd][lon]3[ASR]2,[<missing>].[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],1,1,3,0,0,0,1,0,0,0,0,Cd
2010[Zn][pcu]3[ASR]23,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[<missing>][O]([Zn])([Zn])[Zn],0,0,0,0,0,0,0,0,0,0,0,Zn
2016[Cu][nbo]3[ASR]51,C[C](Oc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])O[C](C)C)c1ccc(cc1)C(=O)[O-])C.[<missing>][Cu],0,0,0,0,0,0,0,0,0,0,0,Cu
