coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2002[Fe][dia]3[ASR]1,<missing>[Fe]O[Fe]Cl.[O-]C(=O)C(=O)[O-],0,0,0,0,2,0,0,0,0,0,0,Fe
2014[Cd][esg]3[ASR]3,[Cd]<missing>.[O-]C(=O)c1ccc(cc1)n1c(C)nnc1c1cccnc1,0,0,4,0,1,0,0,0,0,0,0,Cd
2011[Zn][gra]3[ASR]1,[O-]C(=O)c1c(<missing>)c(F)c(c(c1F)F)C(=O)[O-].[Zn],0,0,0,0,4,0,0,0,0,0,0,Zn
2019[Co][dag]3[ASR]1,<missing>[Co].[Co].[O-]C(=O)c1cc(cc(c1)n1cncc1)n1cncc1,0,0,4,0,1,0,0,0,0,0,0,Co
2020[Cu][sql]2[ASR]14,[Cu][Cu].[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],0,0,0,0,6,0,0,0,0,0,0,Cu
2008[Cu][dia]3[ASR]1,<missing>[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.OCC1=NN=C([N]1)CO.[Cu],0,0,0,0,4,0,0,0,0,0,0,Cu
2014[Mn][nan]3[ASR]8,<missing>[Mn].Cl[Mn]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Mn],0,0,0,0,3,0,0,0,0,0,0,Mn
2020[Cu][nan]2[ASR]2,<missing>[Cu]([Cu][Cu][Cu](I)I)I.[Cu][Cu](I)I.c1ccc(cn1)C#Cc1cc(C#Cc2cccnc2)cc(c1)C#Cc1cccnc1,0,0,3,3,6,0,0,0,0,0,0,Cu
2023[Cd][eta]3[ASR]1,<missing>[Cd].CCC1=NC(=C([N]1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C,0,0,0,0,1,1,0,3,0,0,0,Cd
2004[Fe][dia]3[ASR]3,<missing>[Fe]O[Fe]Cl.[O-]C(=O)C(=O)[O-],0,0,0,0,2,0,0,0,0,0,0,Fe
2005[Zn][nan]3[ASR]7,[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn],0,0,0,0,6,0,0,0,0,0,0,Zn
2021[Ni][qtz]3[ASR]1,<missing>[Ni]Cl.O=C(c1ccncc1)OCc1c2ccccc2c(c2c1cccc2)COC(=O)c1ccncc1,0,0,2,0,2,0,0,0,0,0,0,Ni
2016[Zn][sqp]3[ASR]1,<missing>c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],0,0,0,0,1,0,0,0,0,0,0,Zn
2013[Zn][nan]3[ASR]30,[O-]C(=O)c1c(<missing>)c(F)c(c(c1F)F)C(=O)[O-].[Zn],0,0,0,0,4,0,0,0,0,0,0,Zn
2023[Fe][nan]2[ASR]1,<missing>[Fe]Cl.[Fe].n1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,0,0,4,0,2,0,0,0,0,0,0,Fe
2011[Mn][zzz]3[ASR]1,<missing>[Mn].[Mn].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,0,0,1,0,0,0,0,0,0,Mn
2014[Cu][pts]3[ASR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccncc2)c2ccncc2)c(OC)c(cc1c1ccncc1)c1ccncc1.[Cu][Cu](<missing>)I,0,0,4,0,2,0,4,0,0,0,0,Cu
2016[Cu][mmm]3[ASR]1,<missing>[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],0,0,1,0,4,0,0,0,0,0,0,Cu
2017[Co][sql]2[ASR]4,[Co][Co].[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],0,0,0,0,6,0,0,0,0,0,0,Co
2022[Zn][nan]3[ASR]28,[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn],0,0,0,0,6,0,0,0,0,0,0,Zn
2010[Cu][lcs]3[ASR]2,CN1c2ncnc(c2)N(C)c2ncnc(c2)N(c2cc(N(c3cc1ncn3)C)ncn2)C.<missing>[Cu]12[Cu]3([Cu]1([Cu]23I)I)I,0,0,8,0,4,0,0,0,8,0,0,Cu
2010[Cu][ths]3[ASR]1,O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu]<missing>,0,0,3,0,1,0,0,0,0,0,0,Cu
0000[Mn][nbo]3[ASR]1,O=C(c1ccc(cc1)c1ccncc1)[CH]C(=O)C(<missing>)(F)F.[Mn],0,0,1,0,3,0,0,0,0,2,0,Mn
2001[Cd][lvt]3[ASR]1,<missing>[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],0,0,0,0,1,0,0,0,0,0,0,Cd
2007[Cd][dia]3[ASR]4,<missing>c1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],0,0,2,0,4,0,0,0,0,0,0,Cd
2009[Zn][nan]3[ASR]12,[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn],0,0,0,0,6,0,0,0,0,0,0,Zn
2010[Cu][lcs]3[ASR]1,<missing>[Cu]12[Cu]3([Cu]1([Cu]23Br)Br)Br.CN1c2ncnc(c2)N(C)c2ncnc(c2)N(c2cc(N(c3cc1ncn3)C)ncn2)C,0,0,8,0,4,0,0,0,8,0,0,Cu
2010[Cu][nan]3[ASR]19,<missing>[Cu]12(I)[Cu]3[Cu]1([Cu]23I)I.I[Cu][Cu]I.n1ccc(cc1)c1cc(c2ccncc2)c(cc1c1ccncc1)c1ccncc1,0,0,4,0,6,0,0,0,0,0,0,Cu
2011[In][pts]3[ASR]1,[In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(<missing>)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,0,0,4,0,0,0,0,0,0,In
2011[Mn][srs]3[ASR]2,<missing>[C]1C(=O)C(=O)[C](C(=O)C1=O)Cl.[Mn],0,0,0,0,2,0,0,0,0,4,0,Mn
2011[Zn][nan]3[ASR]28,<missing>[Zn].N1=NC2=CC3=C([CH]C2=N1)O[C]1C(=CC2=NN=NC2=C1)O3.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2=N[N]N=c2c1.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)N=N[N]2.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)[N]N=N2.N1=N[C]2C(=N1)C=C1C(=C2)OC2=CC3=NN=NC3=C[C]2O1.N1=N[C]2C(=N1)C=C1C(=C2)Oc2c(O1)cc1c(c2)[N]N=N1.[Zn],0,0,0,0,1,16,0,0,0,0,0,Zn
2011[Zn][uni]3[ASR]6,CC(C(C(=O)[O-])NCc1ccncc1)C.[Zn]<missing>,0,0,1,0,1,0,0,0,0,0,0,Zn
2014[Cd][esg]3[ASR]1,<missing>[Cd].[O-]C(=O)c1ccc(cc1)n1c(C)nnc1c1cccnc1,0,0,4,0,1,0,0,0,0,0,0,Cd
2014[Cd][esg]3[ASR]2,<missing>[Cd].[O-]C(=O)c1ccc(cc1)n1c(C)nnc1c1cccnc1,0,0,4,0,1,0,0,0,0,0,0,Cd
2014[Cd][rtl]3[ASR]2,<missing>[Cd]Cl.c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,0,0,6,0,2,0,0,0,3,0,0,Cd
2014[Co][sql]2[ASR]1,[Co].[O-]C(=O)c1ccc(cc1)C(C(<missing>)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],0,0,0,0,6,0,0,0,0,0,0,Co
2014[Zn][nan]3[ASR]19,<missing>[Zn].N1=NC2=CC3=C([CH]C2=N1)O[C]1C(=CC2=NN=NC2=C1)O3.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2=N[N]N=c2c1.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)N=N[N]2.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)[N]N=N2.N1=N[C]2C(=N1)C=C1C(=C2)OC2=CC3=NN=NC3=C[C]2O1.N1=N[C]2C(=N1)C=C1C(=C2)Oc2c(O1)cc1c(c2)[N]N=N1.[Zn],0,0,0,0,1,16,0,0,0,0,0,Zn
2014[Zn][unj]3[ASR]1,CC(CC(C(=O)[O-])NCc1ccncc1)C.[Zn]<missing>,0,0,1,0,1,0,0,0,0,0,0,Zn
2014[Zn][utp]3[ASR]2,<missing>[Zn].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,0,0,6,0,1,0,0,0,3,0,0,Zn
2015[Cu][bcu]3[ASR]1,<missing>[Cu].[Cu].[N]1C=NN=N1,0,0,0,0,1,0,0,0,0,0,0,Cu
2015[Cu][nan]3[ASR]17,<missing>[Cu][Cu]I.[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cncnc1,0,0,2,0,2,0,0,0,0,0,0,Cu
2015[Cu][nan]3[ASR]3,<missing>[Cu][Cu]I.[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cncnc1,0,0,2,0,2,0,0,0,0,0,0,Cu
2015[Cu][nbo]3[ASR]2,[Cu].[O-]C(=O)CN=Cc1cc(<missing>)ccc1[O],0,0,0,0,1,0,0,1,0,0,0,Cu
2016[Cd][nan]3[ASR]22,<missing>[Cd].N(CC1=NN=N[N]1)CC1=NN=N[N]1.[Cd],0,0,0,0,1,0,0,0,0,0,0,Cd
2016[Co][nan]2[ASR]1,<missing>c1c(F)c(C2=C3C=CC(=C(c4ccncc4)C4=NC(=C(C5=CC=C(C(=C6N=C2C=C6)c2ccncc2)[N]5)c2c(F)c(F)c(c(c2F)F)F)C=C4)[N]3)c(c(c1F)F)F.[Co],0,0,2,0,10,9,0,2,0,0,0,Co
2016[Cu][mmm]3[ASR]2,<missing>[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],0,0,1,0,4,0,0,0,0,0,0,Cu
2016[Cu][tbo]3[ASR]4,<missing>[Cu][Cu]I.[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],0,0,1,0,2,0,0,0,0,0,0,Cu
2016[Cu][tbo]3[ASR]6,<missing>[Cu][Cu]I.[Cu][Cu].[O-]C(=O)c1cncc(c1)C(=O)[O-],0,0,1,0,2,0,0,0,0,0,0,Cu
2016[In][bpq]3[ASR]1,[In].[O-]C(=O)c1c(<missing>)c(F)c(c(c1F)F)C(=O)[O-].[OH],0,0,0,0,4,0,0,0,0,0,0,In
2016[Zn][nan]2[ASR]3,<missing>c1c(F)c(C2=C3C=CC(=C(c4ccncc4)C4=NC(=C(C5=CC=C(C(=C6N=C2C=C6)c2ccncc2)[N]5)c2c(F)c(F)c(c(c2F)F)F)C=C4)[N]3)c(c(c1F)F)F.[Zn],0,0,2,0,10,9,0,2,0,0,0,Zn
2017[Fe][nan]3[ASR]1,CN(c1c(<missing>)c(F)c(c(c1F)F)C1=C2C=CC(=C(c3ccc(cc3)n3ccnc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)n1ccnc1)[N]4)c1c(F)c(F)c(c(c1F)F)N(C)C)C=C3)[N]2)C.[Fe],0,0,4,0,8,9,0,2,2,0,0,Fe
2017[Fe][nan]3[ASR]2,<missing>[Fe].Cl[Fe]Cl.[Fe].[N]1[N]c2c([N]1)cc1c(c2)[N][N][N]1,0,0,0,0,3,0,0,0,0,0,0,Fe
