coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2019[Cu][pts]3[ASR]2,[Cu][Cu].[O-]C(=O)c1ccc2c(c1)ccc(<missing>CC(COc1ccc2c(c1)ccc(c2)C(=O)[O-])(COc1ccc2c(c1)ccc(c2)C(=O)[O-])COc1ccc2c(c1)ccc(c2)C(=O)[O-],0,0,0,0,0,0,4,0,0,0,0,Cu
2017[Cd][lon]3[ASR]2,[Cd].[O-]C(=O)c1c<missing>c2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],1,1,3,0,0,0,1,0,0,0,0,Cd
2004[Co][nan]3[ASR]1,[Co]O[Co].[O-]C(=<missing>1OC(C(C1C(=O)[O-])C(=O)[O-])C(=O)[O-],0,0,0,0,0,0,1,0,0,0,0,Co
2016[Co][flu]3[ASR]1,[Co].[O-]C(=<missing>Oc1cc(OCC(=O)[O-])c2cc1C(c1ccc(cc1)C)c1cc(c(cc1OCC(=O)[O-])OCC(=O)[O-])C(c1ccc(cc1)C)c1cc(C(c3cc(C2c2ccc(cc2)C)c(OCC(=O)[O-])cc3OCC(=O)[O-])c2ccc(cc2)C)c(cc1OCC(=O)[O-])OCC(=O)[O-],1,1,0,0,0,0,8,0,0,0,0,Co
2016[Cu][nbo]3[ASR]39,C<missing>c1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],0,0,0,0,0,0,2,0,0,0,0,Cu
2012[Zn][scu]3[ASR]3,[O-]C(=O)c1c<missing>CC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn],0,0,0,0,0,0,4,0,0,0,0,Zn
2016[Cu][nbo]3[ASR]10,<missing>c1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],0,0,0,0,0,0,2,0,0,0,0,Cu
2012[Cu][unc]3[ASR]4,<missing>CC1=NN=N[N]1)CCC1=NN=N[N]1.[Cu],0,0,0,0,0,0,1,0,0,0,0,Cu
2023[Cu][nan]3[ASR]9,<missing>c1cc(cc(c1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-].[Cu][Cu],0,0,2,0,0,0,1,0,0,0,0,Cu
2012[Cu][unc]3[ASR]8,<missing>CC1=N[N]N=N1)CCC1=N[N]N=N1.[Cu],0,0,0,0,0,0,1,0,0,0,0,Cu
