coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2023[Cd][eta]3[ASR]1,Br[Cd].CCC1=NC(=C([N]1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C,0,0,0,0,1,1,0,3,0,0,0,Cd
0000[Co][nan]3[ASR]9,[Co].n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,0,0,4,0,0,9,0,2,0,0,0,Co
2019[Zn][tfw]3[ASR]1,N1=NN=C([N]1)C1=NC=N[C]1C1=NN=N[N]1.[Zn],0,0,0,0,0,0,0,1,0,0,0,Zn
0000[Co][nan]3[ASR]7,[Co].n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,0,0,4,0,0,9,0,2,0,0,0,Co
0000[Co][nan]2[ASR]1,[Co].n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,0,0,4,0,0,9,0,2,0,0,0,Co
0000[Co][nan]3[ASR]4,[Co].c1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccccc1)C=C3)[N]2,0,0,2,0,0,9,0,2,0,0,0,Co
0000[Co][nan]3[ASR]11,[Co].n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,0,0,4,0,0,9,0,2,0,0,0,Co
2011[Fe][dia]3[ASR]1,[Fe].[O]c1ccccc1N=Cc1ccncc1,0,0,1,0,0,0,0,1,0,0,0,Fe
2011[Zn][sod]3[ASR]2,CC1=NC=C[N]1.CC1=N[CH]C=N1.[Zn],0,0,0,0,0,1,0,1,0,0,0,Zn
2012[Zn][lig]3[ASR]1,N1=C[C]2C(=NC=N2)N=C1.[Zn],0,0,0,0,0,0,0,1,0,0,0,Zn
2013[Cu][nbo]3[ASR]2,[Cu].[O-]C(=O)CN=Cc1ccccc1[O],0,0,0,0,0,0,0,1,0,0,0,Cu
2013[Cu][nbo]3[ASR]4,[Cu].[O-]C(=O)CN=Cc1ccccc1[O],0,0,0,0,0,0,0,1,0,0,0,Cu
2015[Co][crs]3[ASR]1,C1=C[C](C=N1)c1ccc(cc1)[C]1C=NC=C1.N1=C[C](C=C1)c1ccc(cc1)C1=C[CH]N=C1.N1=C[C](C=C1)c1ccc(cc1)C1=C[N]C=C1.[Co].[N]1C=CC(=C1)c1ccc(cc1)C1=C[N]C=C1,0,0,0,0,0,11,0,5,0,0,0,Co
2015[Cu][nan]3[ASR]15,[Cu].[O-]C(=O)C1=NC(=N[C]1C(=O)O)c1cccnc1,0,0,1,0,0,0,0,1,0,0,0,Cu
2015[Cu][nbo]3[ASR]2,[Cu].[O-]C(=O)CN=Cc1cc(Cl)ccc1[O],0,0,0,0,1,0,0,1,0,0,0,Cu
2016[Co][nan]2[ASR]1,Fc1c(F)c(C2=C3C=CC(=C(c4ccncc4)C4=NC(=C(C5=CC=C(C(=C6N=C2C=C6)c2ccncc2)[N]5)c2c(F)c(F)c(c(c2F)F)F)C=C4)[N]3)c(c(c1F)F)F.[Co],0,0,2,0,10,9,0,2,0,0,0,Co
2016[Zn][nan]2[ASR]3,Fc1c(F)c(C2=C3C=CC(=C(c4ccncc4)C4=NC(=C(C5=CC=C(C(=C6N=C2C=C6)c2ccncc2)[N]5)c2c(F)c(F)c(c(c2F)F)F)C=C4)[N]3)c(c(c1F)F)F.[Zn],0,0,2,0,10,9,0,2,0,0,0,Zn
2017[Fe][nan]3[ASR]1,CN(c1c(F)c(F)c(c(c1F)F)C1=C2C=CC(=C(c3ccc(cc3)n3ccnc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)n1ccnc1)[N]4)c1c(F)c(F)c(c(c1F)F)N(C)C)C=C3)[N]2)C.[Fe],0,0,4,0,8,9,0,2,2,0,0,Fe
