coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2014[Cu][nts]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,9,0,0,0,0,0,3,0,0,Cu
2019[Zn][utp]3[ASR]2,[Zn].n1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cnnc1)c1ccc(cc1)n1cnnc1,0,0,9,0,0,0,0,0,3,0,0,Zn
2007[Zn][nan]3[ASR]10,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],0,0,0,0,0,0,0,0,3,0,0,Zn
2020[Co][dia]3[ASR]2,Nc1nccc(c1)C(=O)[O-].[Co],0,0,1,0,0,0,0,0,1,0,0,Co
2024[Cu][nan]3[ASR]2,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0,0,0,0,0,0,0,1,0,0,Cu
2014[Cd][svg]3[ASR]1,[Cd].[O-]C(=O)c1ccc(cc1)N1[N]C=N[CH]1.[OH],0,0,0,0,0,0,0,0,1,0,0,Cd
2016[Cd][nan]3[ASR]7,[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],0,0,0,0,0,0,0,0,6,0,0,Cd
2017[Zn][sql]2[ASR]1,O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn],0,0,0,0,0,0,0,0,2,0,2,Zn
2024[Cd][nan]2[ASR]1,O=C(C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)O)C(=O)[O-].[Cd],1,1,0,0,0,0,0,0,2,0,2,Cd
2013[Zn][rtl]3[ASR]3,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)N(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],0,0,1,0,0,0,0,0,1,0,2,Zn
2017[Cd][pts]3[ASR]1,[Cd].[O-]C(=O)c1cc(NC2=NN=N[N]2)cc(c1)C(=O)[O-],0,0,0,0,0,0,0,0,1,0,0,Cd
2009[Cd][bcu]3[ASR]1,O=C1N(c2ccncc2)C(=O)c2c1cc(cc2)C(=O)[O-].[Cd],0,0,1,0,0,0,0,0,1,0,2,Cd
