coreid,mofid-v1,Ground_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2013[Al][nan]3[ASR]1,<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Al].[OH],0,0,0,0,0,0,0,0,0,1,0,Al
2018[Co][nan]3[ASR]5,[Co].[O-]<missing>)[C]1C=C(C(=O)[O-])C(=O)[CH]C1=O,0,0,0,0,0,1,0,0,0,2,0,Co
2005[Co][nan]3[ASR]5,<missing>C(=O)C(=O)C1=O.[Co].[OH],0,0,0,0,0,0,0,0,0,4,0,Co
0000[Mn][nbo]3[ASR]1,<missing>c1ccc(cc1)c1ccncc1)[CH]C(=O)C(F)(F)F.[Mn],0,0,1,0,3,0,0,0,0,2,0,Mn
2003[Co][nan]3[ASR]3,<missing>C(=O)C(=O)C1=O.[Co].[OH],0,0,0,0,0,0,0,0,0,4,0,Co
2005[Co][nan]3[ASR]4,<missing>C(=O)C(=O)C1=O.[Co].[OH],0,0,0,0,0,0,0,0,0,4,0,Co
2011[Fe][srs]3[ASR]1,<missing>[CH]C(=O)C(=O)[CH]C1=O.[Fe],0,0,0,0,0,0,0,0,0,4,0,Fe
2011[Mn][srs]3[ASR]2,Cl[C]1<missing>)C(=O)[C](C(=O)C1=O)Cl.[Mn],0,0,0,0,2,0,0,0,0,4,0,Mn
2011[Ni][srs]3[ASR]1,<missing>[CH]C(=O)C(=O)[CH]C1=O.[Ni],0,0,0,0,0,0,0,0,0,4,0,Ni
2011[Zn][nbo]3[ASR]2,C<missing>)[CH]C(=O)c1ccc(cc1)c1ccncc1.[Zn],0,0,1,0,0,0,0,0,0,2,0,Zn
2017[Eu][nan]2[ASR]1,<missing>c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Eu],0,0,0,0,0,0,0,0,0,1,0,Eu
2018[Co][nan]3[ASR]4,[Co].[O-]<missing>)[C]1C=C(C(=O)[O-])C(=O)[CH]C1=O,0,0,0,0,0,1,0,0,0,2,0,Co
2018[Co][nan]3[ASR]7,[Co].[O-]<missing>)[C]1C=C(C(=O)[O-])C(=O)[CH]C1=O,0,0,0,0,0,1,0,0,0,2,0,Co
2019[Sm][gfy]3[ASR]1,[O-]<missing>)c1ccc(cc1)C=C1CCCC(=Cc2ccc(cc2)C(=O)[O-])C1=O.[Sm],0,0,0,0,0,2,0,0,0,1,0,Sm
2023[Cu][pto]3[ASR]1,N#C[C]1<missing>)C(=O)[C](C(=O)C1=O)C#N.[Cu],0,0,0,0,0,0,0,0,0,4,0,Cu
2024[Zn][pcu]3[ASR]5,F[Zn].F[Zn](F)F.<missing>C(=O)C(=O)C1=O.[Zn],0,0,0,0,4,0,0,0,0,4,0,Zn
