coreid,mofid-v1,Grouth_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2017[Cu][nan]3[ASR]8,O[Cu]O.[Cu].[Cu][Cu].[O-]C(=O)c1c<missing>cc(c1)C(=O)[O-],1,1,1,0,0,0,0,0,0,0,0,Cu
2009[Cd][nuc]3[ASR]10,N<missing>1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd],1,1,5,0,0,0,0,0,0,0,0,Cd
2013[Co][dia]3[ASR]5,[Co].[O-]C(=O)c1ccc(cc1)c1cc<missing>cc1,1,1,1,0,0,0,0,0,0,0,0,Co
2012[Cu][sra]3[ASR]2,[Cu].<missing>1ncn(c1)C12CC3(CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1)n1cnnc1,1,1,12,0,0,0,0,0,0,0,0,Cu
2014[Cu][nts]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])<missing>1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,1,9,0,0,0,0,0,3,0,0,Cu
2004[Co][rtl]3[ASR]2,[Co].[O-]C(=O)c1cc<missing>cc1,1,1,1,0,0,0,0,0,0,0,0,Co
2015[Zn][lon]3[ASR]3,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1cc(<missing>c(c1)c1ccncc1)c1ccncc1.[Zn],1,1,3,0,0,0,0,0,0,0,0,Zn
2013[Zn][nan]3[ASR]11,[O-]C(=O)c1ccc(c<missing>1)C(=O)[O-].[Zn],1,1,1,0,0,0,0,0,0,0,0,Zn
2019[Zn][utp]3[ASR]2,[Zn].<missing>1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cnnc1)c1ccc(cc1)n1cnnc1,1,1,9,0,0,0,0,0,3,0,0,Zn
2009[Cd][nuc]3[ASR]9,N<missing>1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd],1,1,5,0,0,0,0,0,0,0,0,Cd
2018[Zn][hxl]2[ASR]2,[O-]C(=O)CC<missing>1c2cc3c(cc2c2c1cccc2)n(c1c3cccc1)CCC(=O)[O-].[Zn],1,1,2,0,0,0,0,0,0,0,0,Zn
2019[Zn][nan]3[ASR]24,[O-]C(=O)c1cc(cc(<missing>1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-].[Zn],1,1,2,0,0,0,0,0,0,0,0,Zn
2019[Zn][sql]2[ASR]3,[Zn].<missing>1ncn(c1)c1ccc(cc1)Cc1ccc(cc1)n1cnnc1,1,1,6,0,0,0,0,0,0,0,0,Zn
2019[Ni][dia]3[ASR]4,[Ni].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc<missing>cc1,1,1,1,0,0,0,0,0,0,0,0,Ni
2009[Cd][nuc]3[ASR]11,N<missing>1c(nnc1c1cccc(c1)c1ccncc1)c1cccc(c1)c1ccncc1.[Cd],1,1,5,0,0,0,0,0,0,0,0,Cd
2012[Zn][nbo]3[ASR]3,N1=NN=C([N]1)c1<missing>[nH]nc1C1=NN=N[N]1.[Zn],1,1,3,0,0,0,0,0,0,0,0,Zn
2023[Zn][fes]2[ASR]1,[O-]C(=O)c1ccc(cc1)C=Cc1ccc2c(<missing>1)c1nc(C=Cc3ccc(cc3)C(=O)[O-])ccc1cc2.[Zn],1,1,2,0,0,2,0,0,0,0,0,Zn
2014[Cd][esg]3[ASR]3,[Cd]I.[O-]C(=O)c1ccc(cc1)<missing>1c(C)nnc1c1cccnc1,1,1,4,0,1,0,0,0,0,0,0,Cd
2020[Co][dia]3[ASR]2,Nc1<missing>ccc(c1)C(=O)[O-].[Co],1,1,1,0,0,0,0,0,1,0,0,Co
2012[Ag][nan]3[ASR]1,[Ag].[Ag]OO[Ag].<missing>1ccn(c1)c1ccc(cc1)C1=NN=N[N]1,1,1,2,0,0,0,0,0,0,0,0,Ag
