coreid,mofid-v1,Grouth_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2014[Cd][esg]3[ASR]3,[Cd]I.[O-]C(=O)c1ccc(cc1)n1c(C)nnc1c1cccnc1,1,1,4,0,1,0,0,0,0,0,0,Cd
2011[Zn][gra]3[ASR]1,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn],1,1,0,0,4,0,0,0,0,0,0,Zn
2019[Co][dag]3[ASR]1,Cl[Co].[Co].[O-]C(=O)c1cc(cc(c1)n1cncc1)n1cncc1,1,1,4,0,1,0,0,0,0,0,0,Co
2020[Cu][sql]2[ASR]14,[Cu][Cu].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],1,1,0,0,6,0,0,0,0,0,0,Cu
2008[Cu][dia]3[ASR]1,I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.OCC1=NN=C([N]1)CO.[Cu],1,1,0,0,4,0,0,0,0,0,0,Cu
2014[Mn][nan]3[ASR]8,Cl[Mn].Cl[Mn]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Mn],1,1,0,0,3,0,0,0,0,0,0,Mn
2020[Cu][nan]2[ASR]2,I[Cu]([Cu][Cu][Cu](I)I)I.[Cu][Cu](I)I.c1ccc(cn1)C#Cc1cc(C#Cc2cccnc2)cc(c1)C#Cc1cccnc1,1,1,3,3,6,0,0,0,0,0,0,Cu
2023[Cd][eta]3[ASR]1,Br[Cd].CCC1=NC(=C([N]1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C,1,1,0,0,1,1,0,3,0,0,0,Cd
2005[Zn][nan]3[ASR]7,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,6,0,0,0,0,0,0,Zn
2021[Ni][qtz]3[ASR]1,Cl[Ni]Cl.O=C(c1ccncc1)OCc1c2ccccc2c(c2c1cccc2)COC(=O)c1ccncc1,1,1,2,0,2,0,0,0,0,0,0,Ni
