coreid,mofid-v1,Grouth_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2023[Zn][fes]2[ASR]1,[O-]C(=O)c1ccc(cc1)<missing>c1ccc2c(n1)c1nc(C=Cc3ccc(cc3)C(=O)[O-])ccc1cc2.[Zn],1,1,2,0,0,2,0,0,0,0,0,Zn
2016[Cd][nan]3[ASR]20,C[C]1N=N<missing>Cc1ccc(cc1)C(=O)[O-])C.[Cd],1,1,0,0,0,1,0,0,0,0,0,Cd
2019[Co][nan]3[ASR]23,[Co].[O-]C(=O)<missing>c1c2ccccc2c(c2c1cccc2)C=CC(=O)[O-],1,1,0,0,0,2,0,0,0,0,0,Co
2015[Fe][pts]3[ASR]2,N1=C[C](C=N1)c1ccc(cc1)<missing>[N]N=C1.[Fe],1,1,0,0,0,1,0,0,0,0,0,Fe
2016[Co][pts]3[ASR]5,Cc1cc(<missing>[N]N=C2)c(cc1[C]1C=NN=C1)C.[Co],1,1,0,0,0,1,0,0,0,0,0,Co
2019[Zn][etf]3[ASR]5,<missing>N=C([N]1)C1=Nc2c([N]1)ccnc2.[Zn],1,1,1,0,0,1,0,0,0,0,0,Zn
2016[Co][nan]3[ASR]13,[Co].[O-]C(=O)<missing>C2=NN=NC2=C[CH]1.[O-]C(=O)c1ccc2c(c1)[N]N=N2.[OH],1,1,0,0,0,2,0,0,0,0,0,Co
2014[Co][dia]3[ASR]1,[Co].[O-]C(=O)c1ccc(cc1)<missing>c1ccncc1,1,1,1,0,0,1,0,0,0,0,0,Co
2015[Cu][hyw]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1<missing>N([CH]1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,1,0,0,0,1,0,0,4,0,0,Cu
2023[Cd][eta]3[ASR]1,Br[Cd].CCC1=N<missing>[N]1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C,1,1,0,0,1,1,0,3,0,0,0,Cd
0000[Co][nan]3[ASR]9,[Co].n1ccc(cc1)<missing>C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,1,1,4,0,0,9,0,2,0,0,0,Co
2019[Ni][dia]3[ASR]1,[Ni].[O-]C(=O)c1ccc(cc1)<missing>c1ccncc1,1,1,1,0,0,1,0,0,0,0,0,Ni
0000[Co][nan]3[ASR]7,[Co].n1ccc(cc1)<missing>C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,1,1,4,0,0,9,0,2,0,0,0,Co
2010[Cu][wbl]3[ASR]1,CCOc1cc(<missing>C(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)C=CC(=O)[O-])C=CC(=O)[O-])ccc(c2)C=CC(=O)[O-].[Cu][Cu],1,1,0,0,0,4,2,0,0,0,0,Cu
