coreid,mofid-v1,Grouth_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2019[Cu][pts]3[ASR]2,[Cu][Cu].[O-]C(=O)c1ccc2c(c1)ccc(c2)OCC(COc1ccc2c(c1)ccc(c2)C(=O)[O-])(COc1ccc2c(c1)ccc(c2)C(=O)[O-])COc1ccc2c(c1)ccc(c2)C(=O)[O-],1,1,0,0,0,0,4,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]39,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2012[Zn][scu]3[ASR]3,[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2016[Cu][nbo]3[ASR]10,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2012[Cu][unc]3[ASR]4,O(CCC1=NN=N[N]1)CCC1=NN=N[N]1.[Cu],1,1,0,0,0,0,1,0,0,0,0,Cu
2023[Cu][nan]3[ASR]9,COc1cc(cc(c1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-].[Cu][Cu],1,1,2,0,0,0,1,0,0,0,0,Cu
2012[Cu][unc]3[ASR]8,O(CCC1=N[N]N=N1)CCC1=N[N]N=N1.[Cu],1,1,0,0,0,0,1,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]27,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2015[Co][flu]3[ASR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c(OC)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Co],1,1,0,0,0,0,4,0,0,0,0,Co
2016[Cu][nbo]3[ASR]38,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2008[Zn][sqc]3[ASR]1,[O-]C(=O)c1cc(OCc2cccc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],1,1,0,0,0,0,2,0,0,0,0,Zn
2012[Cd][flu]3[ASR]1,[Cd].[O-]C(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,2,0,0,0,0,Cd
2003[Ce][nia]3[ASR]1,[Ce].[O-]C(=O)COCC(=O)[O-],2,2,0,0,0,0,1,0,0,0,0,Ce
2012[Cu][unc]3[ASR]10,O(CCC1=NN=N[N]1)CCC1=N[N]N=N1.[Cu],1,1,0,0,0,0,1,0,0,0,0,Cu
2012[Zn][sod]3[ASR]15,O(CCC1=NN=N[N]1)CCC1=NN=N[N]1.[Zn],1,1,0,0,0,0,1,0,0,0,0,Zn
2009[Cu][dia]3[ASR]2,[Cu].n1ccc(cc1)c1ccc(cc1)OCC(COc1ccc(cc1)c1ccncc1)(COc1ccc(cc1)c1ccncc1)COc1ccc(cc1)c1ccncc1,1,1,4,0,0,0,4,0,0,0,0,Cu
2014[Cu][pts]3[ASR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccncc2)c2ccncc2)c(OC)c(cc1c1ccncc1)c1ccncc1.[Cu][Cu](I)I,1,1,4,0,2,0,4,0,0,0,0,Cu
2012[Cu][nts]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,3,0,0,0,0,Cu
2015[Cd][flu]3[ASR]1,[Cd].[O-]C(=O)c1cc(OCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,2,0,0,0,0,Cd
2020[Zn][nan]3[ASR]7,[O-]C(=O)c1cc(Oc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],1,1,0,0,0,0,1,0,0,0,0,Zn
2016[Cu][nbo]3[ASR]45,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2010[Cu][wbl]3[ASR]1,CCOc1cc(C=CC(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)C=CC(=O)[O-])C=CC(=O)[O-])ccc(c2)C=CC(=O)[O-].[Cu][Cu],1,1,0,0,0,4,2,0,0,0,0,Cu
2015[Pb][nan]3[ASR]2,[O-]C(=O)COc1c2cccc1Cc1cccc(c1OCC(=O)[O-])Cc1c(c(Cc3c(c(C2)ccc3)OCC(=O)[O-])ccc1)OCC(=O)[O-].[Pb],1,1,0,0,0,0,4,0,0,0,0,Pb
2015[Zn][flu]3[ASR]1,COc1c(c2c(OC)c(cc(c2OC)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c(OC)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2007[Zn][nan]3[ASR]4,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,1,0,0,0,0,Zn
2010[Cu][ssa]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(OCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,2,0,0,0,0,Cu
2010[Zn][lon]3[ASR]1,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2011[Cu][apo]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)[O-],1,1,1,0,0,0,1,0,0,0,0,Cu
2011[In][nan]3[ASR]1,[In].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[OH],1,1,0,0,0,0,1,0,0,0,0,In
2011[Mn][nan]3[ASR]1,[Mn].[O-]C(=O)c1cc(OCc2ccc(cc2)c2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],2,2,0,0,0,0,2,0,0,0,0,Mn
2012[Cu][scu]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,4,0,0,0,0,Cu
2012[Cu][unc]3[ASR]6,O(CCC1=NN=N[N]1)CCC1=N[N]N=N1.[Cu],1,1,0,0,0,0,1,0,0,0,0,Cu
2012[Eu][nan]3[ASR]1,[Eu].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,7,0,0,0,0,Eu
2012[Zn][scu]3[ASR]1,[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2012[Zn][scu]3[ASR]2,[O-]C(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])(COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2013[Cd][jus]3[ASR]1,[Cd].[O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)O,1,1,0,0,0,0,1,0,0,0,0,Cd
2013[Cu][nan]3[ASR]10,[Cu].[O-]C(=O)COc1cc(C)cc(c1)C(=O)[O-],1,1,0,0,0,0,1,0,0,0,0,Cu
2013[Cu][pts]3[ASR]3,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])C(c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)(C)C)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2013[Zn][nan]3[ASR]36,[O-]C(=O)c1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-].[OH].[Zn],1,1,0,0,0,0,2,0,0,0,0,Zn
2013[Zn][nan]3[ASR]37,[O-]C(=O)c1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-].[OH].[Zn],1,1,0,0,0,0,2,0,0,0,0,Zn
2014[Cd][nan]3[ASR]11,[Cd].[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)O,1,1,0,0,0,0,2,0,0,0,0,Cd
2014[In][unc]3[ASR]1,[In].[O-]C(=O)c1cc(OCc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],1,1,0,0,0,0,1,0,0,0,0,In
2016[Cu][nbo]3[ASR]22,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]25,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]28,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]31,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]33,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]36,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]42,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]43,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]44,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]47,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]49,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]55,CCOc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OCC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Cu][nbo]3[ASR]9,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],1,1,0,0,0,0,2,0,0,0,0,Cu
2016[Zn][crb]3[ASR]1,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,4,0,0,0,0,Zn
2017[Cd][nan]3[ASR]9,[Cd].[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)O,1,1,0,0,0,0,2,0,0,0,0,Cd
2017[Tb][nan]3[ASR]6,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Tb],1,1,0,0,0,0,1,0,0,0,0,Tb
