coreid,mofid-v1,Grouth_truth,Predicted,Aromatic Nitrogen Ring,Alkyne,Halogen,Alkene,Ether,Imine,Enamine,Ketone_new,Amino,metal
2014[Cu][nts]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1nnc(c1)c1ccc<missing>c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,1,9,0,0,0,0,0,3,0,0,Cu
2019[Zn][utp]3[ASR]2,[Zn].n1ncn(c1)c1ccc<missing>c1ccc(cc1)n1cnnc1)c1ccc(cc1)n1cnnc1,1,1,9,0,0,0,0,0,3,0,0,Zn
2007[Zn][nan]3[ASR]10,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,0,0,3,0,0,Zn
2020[Co][dia]3[ASR]2,<missing>nccc(c1)C(=O)[O-].[Co],1,1,1,0,0,0,0,0,1,0,0,Co
2024[Cu][nan]3[ASR]2,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])<missing>cc(cc(c1)C(=O)[O-])C(=O)[O-])Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,1,0,0,0,0,0,0,1,0,0,Cu
2014[Cd][svg]3[ASR]1,[Cd].[O-]C(=O)c1ccc<missing>[N]C=N[CH]1.[OH],1,1,0,0,0,0,0,0,1,0,0,Cd
2016[Cd][nan]3[ASR]7,[Cd].[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,0,0,6,0,0,Cd
2017[Zn][sql]2[ASR]1,O=C<missing>c(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,0,0,2,0,2,Zn
2013[Zn][rtl]3[ASR]3,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)<missing>(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],1,1,1,0,0,0,0,0,1,0,2,Zn
2017[Cd][pts]3[ASR]1,[Cd].[O-]C(=O)c<missing>C2=NN=N[N]2)cc(c1)C(=O)[O-],1,1,0,0,0,0,0,0,1,0,0,Cd
2009[Cd][bcu]3[ASR]1,O=C<missing>cncc2)C(=O)c2c1cc(cc2)C(=O)[O-].[Cd],1,1,1,0,0,0,0,0,1,0,2,Cd
0000[Cu][tbo]3[ASR]1,[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1ccc<missing>c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,0,0,3,0,0,Cu
2012[Zn][dia]3[ASR]4,<missing>ccc(c1)C(=O)[O-].[Zn],1,1,1,0,0,0,0,0,1,0,0,Zn
2021[Eu][nan]3[ASR]1,[Eu].[O-]C(=O)c1ccc(cc1)c1ccc<missing>c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,0,0,3,0,0,Eu
2015[Cu][hyw]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-]<missing>N([CH]1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],1,1,0,0,0,1,0,0,4,0,0,Cu
2020[Zn][qtz]3[ASR]1,[O-]C(=O)c1ccn<missing>.[Zn],1,1,1,0,0,0,0,0,1,0,0,Zn
2013[Zn][rtl]3[ASR]5,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)<missing>(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],1,1,1,0,0,0,0,0,1,0,2,Zn
2007[Zn][nan]3[ASR]11,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],1,1,0,0,0,0,0,0,3,0,0,Zn
2011[Cd][pcu]3[ASR]2,[Cd].c1ccc(cn1)NCc1ccc(cc1)C<missing>ccnc1,1,1,2,0,0,0,0,0,2,0,0,Cd
2020[Cu][ant]2[ASR]1,N1=C[N]<missing>ccc(cc1)C1=NN=N[N]1.[Cu],1,1,0,0,0,0,0,0,1,0,0,Cu
2013[Zn][rtl]3[ASR]1,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)<missing>(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],1,1,1,0,0,0,0,0,1,0,2,Zn
2013[Zn][rtl]3[ASR]2,[O-]C(=O)c1ccc2c3c1c(ccc3C(=O)<missing>(C2=O)c1ccncc1)C(=O)[O-].[Zn][Zn],1,1,1,0,0,0,0,0,1,0,2,Zn
2010[Zn][lvt]3[ASR]1,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,0,0,6,0,0,Zn
2019[Cu][ssa]3[ASR]1,Nc1nc<missing>c1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],1,1,1,0,0,0,0,0,2,0,0,Cu
2021[Mn][kgd]2[ASR]1,<missing>c(cc(c1)C(=O)O)C(=O)[O-].[Mn],1,1,0,0,0,0,0,0,1,0,0,Mn
2005[Cu][pts]3[ASR]2,[Cu][Cu].[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,0,0,6,0,0,Cu
2010[Cu][lcs]3[ASR]2,CN1c2ncn<missing>C)c2ncnc(c2)N(c2cc(N(c3cc1ncn3)C)ncn2)C.I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I,1,1,8,0,4,0,0,0,8,0,0,Cu
2022[Cd][dia]3[ASR]2,[Cd].[O-]C(=O)c1cc(CN2[CH]C=C(C=C2)C2=C[CH]<missing>Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],2,2,0,0,0,4,0,0,2,0,0,Cd
2005[Nd][pcu]3[ASR]1,[Nd].[O-]C(=O)c<missing>c(c(c1N)N)C(=O)[O-],2,2,0,0,0,0,0,0,3,0,0,Nd
2006[Co][flu]3[ASR]1,[Co].[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],1,1,0,0,0,0,0,0,6,0,0,Co
2008[Cd][pyr]3[ASR]1,O=C(c1cc(cc(c1)C(=O<missing>cncc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Cd],1,1,3,0,0,0,0,0,3,0,3,Cd
2010[Cu][lcs]3[ASR]1,Br[Cu]12[Cu]3([Cu]1([Cu]23Br)Br)Br.CN1c2ncn<missing>C)c2ncnc(c2)N(c2cc(N(c3cc1ncn3)C)ncn2)C,1,1,8,0,4,0,0,0,8,0,0,Cu
2010[Zn][lvt]3[ASR]2,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,0,0,6,0,0,Zn
2010[Zn][lvt]3[ASR]3,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,0,0,6,0,0,Zn
2010[Zn][pts]3[ASR]4,[O-]C(=O)c1ccc<missing>c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][Zn],1,1,0,0,0,0,0,0,6,0,0,Zn
2011[Co][dia]3[ASR]2,<missing>ccc(c1)C(=O)[O-].[Co],1,1,1,0,0,0,0,0,1,0,0,Co
